match_id,season,match_date,event_name,team1,team2,toss_winner,toss_decision,winner,ground,h2h,h2h_team1_wins,h2h_team1_wins%,h2h_venue,h2h_venue_team1_wins,h2h_venue_team1_wins%,team1_venue,team2_venue,team1_venue_wins,team2_venue_wins,team1_venue_wins%,team2_venue_wins%,team1_last_5_wins,team2_last_5_wins
1144499,2019,2019-06-12,World Cup,Pakistan,Australia,Pakistan,field,Australia,"The Cooper Associates County Ground, Taunton",39,8,21,1,0,0,1,1,0,1,0,100,2,4
1144496,2019,2019-06-09,World Cup,India,Australia,India,bat,India,"Kennington Oval, London",75,32,43,1,1,100,5,9,1,0,20,0,4,4
1144495,2019,2019-06-08,World Cup,New Zealand,Afghanistan,New Zealand,field,New Zealand,"The Cooper Associates County Ground, Taunton",3,3,100,1,1,100,1,1,1,0,100,0,5,2
1144494,2019,2019-06-08,World Cup,England,Bangladesh,Bangladesh,field,England,"Sophia Gardens, Cardiff",23,18,78,1,1,100,4,2,1,0,25,0,3,2
1144492,2019,2019-06-06,World Cup,West Indies,Australia,West Indies,field,Australia,"Trent Bridge, Nottingham",39,8,21,1,0,0,4,5,0,1,0,20,1,5
1144491,2019,2019-06-05,World Cup,New Zealand,Bangladesh,New Zealand,field,New Zealand,"Kennington Oval, London",36,26,72,1,1,100,6,4,1,0,16,0,5,1
1144490,2019,2019-06-05,World Cup,South Africa,India,South Africa,bat,India,"The Rose Bowl, Southampton",45,22,49,1,0,0,3,2,0,1,0,50,3,2
1144489,2019,2019-06-04,World Cup,Sri Lanka,Afghanistan,Afghanistan,field,Sri Lanka,"Sophia Gardens, Cardiff",14,10,71,1,1,100,6,2,1,0,16,0,3,2
1144488,2019,2019-06-03,World Cup,Pakistan,England,England,field,Pakistan,"Trent Bridge, Nottingham",39,10,26,4,1,25,4,16,1,3,25,18,3,3
1144487,2019,2019-06-02,World Cup,South Africa,Bangladesh,South Africa,field,Bangladesh,"Kennington Oval, London",18,12,67,1,0,0,7,4,0,1,0,25,3,0
1144486,2019,2019-06-01,World Cup,Australia,Afghanistan,Afghanistan,bat,Australia,"County Ground, Bristol",4,4,100,1,1,100,1,1,1,0,100,0,5,3
1144485,2019,2019-06-01,World Cup,Sri Lanka,New Zealand,New Zealand,field,New Zealand,"Sophia Gardens, Cardiff",40,17,42,2,0,0,6,2,0,2,0,100,3,2
1144484,2019,2019-05-31,World Cup,West Indies,Pakistan,West Indies,field,West Indies,"Trent Bridge, Nottingham",35,10,29,1,1,100,4,1,1,0,25,0,2,4
1144483,2019,2019-05-30,World Cup,South Africa,England,South Africa,field,England,"Kennington Oval, London",40,18,45,5,0,0,7,23,0,5,0,21,2,3
1169332,2019,2019-05-21,Sri Lanka tour of England and Scotland,Sri Lanka,Scotland,Scotland,field,Sri Lanka,"Grange Cricket Club, Raeburn Place, Edinburgh",3,3,100,1,1,100,1,5,1,0,100,0,3,4
1168516,2019,2019-05-21,Afghanistan tour of Ireland,Ireland,Afghanistan,Ireland,field,Afghanistan,"Civil Service Cricket Club, Stormont, Belfast",28,10,36,8,3,37,13,8,3,5,23,62,1,2
1168515,2019,2019-05-19,Afghanistan tour of Ireland,Ireland,Afghanistan,Afghanistan,field,Ireland,"Civil Service Cricket Club, Stormont, Belfast",28,10,36,8,3,37,13,8,3,5,23,62,1,3
1152845,2019,2019-05-19,Pakistan tour of England,Pakistan,England,England,bat,England,"Headingley, Leeds",39,10,26,3,0,0,4,12,0,3,0,25,3,4
1168514,2019,2019-05-17,Ireland Tri-Nation Series,West Indies,Bangladesh,Bangladesh,field,Bangladesh,"The Village, Malahide, Dublin",37,16,43,2,0,0,3,2,0,2,0,100,2,1
1152844,2019,2019-05-17,Pakistan tour of England,Pakistan,England,England,field,England,"Trent Bridge, Nottingham",39,10,26,4,1,25,4,16,1,3,25,18,4,4
1168513,2019,2019-05-15,Ireland Tri-Nation Series,Ireland,Bangladesh,Ireland,bat,Bangladesh,"Castle Avenue, Dublin",9,1,11,1,0,0,1,2,0,1,0,50,2,1
1152843,2019,2019-05-14,Pakistan tour of England,Pakistan,England,England,field,England,"County Ground, Bristol",39,10,26,1,0,0,1,6,0,1,0,16,4,4
1168512,2019,2019-05-13,Ireland Tri-Nation Series,West Indies,Bangladesh,West Indies,bat,Bangladesh,"The Village, Malahide, Dublin",37,16,43,2,0,0,3,2,0,2,0,100,2,2
1168511,2019,2019-05-11,Ireland Tri-Nation Series,West Indies,Ireland,Ireland,bat,West Indies,"The Village, Malahide, Dublin",13,10,77,1,1,100,3,11,1,0,33,0,3,2
1152842,2019,2019-05-11,Pakistan tour of England,Pakistan,England,Pakistan,field,England,"The Rose Bowl, Southampton",39,10,26,4,1,25,4,18,1,3,25,16,5,4
1169330,2019,2019-05-10,Afghanistan tour of England and Scotland,Scotland,Afghanistan,Scotland,bat,Afghanistan,"Grange Cricket Club, Raeburn Place, Edinburgh",9,3,33,2,0,0,5,2,0,2,0,100,5,2
1168509,2019,2019-05-07,Ireland Tri-Nation Series,West Indies,Bangladesh,West Indies,bat,Bangladesh,"Castle Avenue, Dublin",37,16,43,1,0,0,2,2,0,1,0,50,3,2
1168508,2019,2019-05-05,Ireland Tri-Nation Series,West Indies,Ireland,Ireland,field,West Indies,"Castle Avenue, Dublin",13,10,77,1,1,100,2,1,1,0,50,0,3,2
1161014,2019,2019-05-03,England tour of Ireland,Ireland,England,England,field,England,"The Village, Malahide, Dublin",13,2,15,2,0,0,2,2,0,2,0,100,2,4
1174845,2019,2019-04-27,ICC World Cricket League Division Two,Oman,Namibia,Namibia,bat,Namibia,"Wanderers Cricket Ground, Windhoek",6,1,17,2,0,0,2,8,0,2,0,25,3,1
1174844,2019,2019-04-27,ICC World Cricket League Division Two,United States Of America,Papua New Guinea,Papua New Guinea,field,Papua New Guinea,"Affies Park, Windhoek",9,7,78,1,0,0,1,1,0,1,0,100,2,1
1179275,2019,2019-04-16,United Arab Emirates tour of Zimbabwe,Zimbabwe,United Arab Emirates,United Arab Emirates,bat,Zimbabwe,"Harare Sports Club, Harare",5,4,80,4,3,75,93,4,3,1,3,25,3,3
