Unique Events
CWC Challenge League
ICC Men's Cricket World Cup League 2
One-Day Cup
Cricket Ireland Inter-Provincial Limited Over Cup
Royal London One-Day Cup
Uganda tour of Namibia
ICC World Cricket League Division Two
ICC World Cricket League Division Three
ICC World Cricket League Division Four
ICC Cricket World Cup Qualifier
ICC World Cricket League Championship
ICC World Cricket League Division Five
ICC World Cricket League Europe Region Division One
ICC World Cricket League Asia Region Division One
ICC World Cricket League Africa Region Qualifiers
ICC World Cricket League East Asia-Pacific Region Qualifiers
Stan Nagaiah Trophy
Oman tour of United Arab Emirates
ICC World Cricket League Division Six
Asian Cricket Council Elite League
Asian Cricket Council Premier League
ICC World Cricket League Division Eight
ICC World Cricket League Americas Region Division One
