Unnamed: 0,match_id,season,match_date,event_name,gender,match_type,team1,team2,toss_winner,toss_decision,winner,ground
13631,1058152,2016,2016-09-27,Kenya T20 Quadrangular Series,male,IT20,Kenya,Saudi Arabia,Kenya,field,Saudi Arabia,"Gymkhana Club Ground, Nairobi"
13634,1058153,2016,2016-09-27,Kenya T20 Quadrangular Series,male,IT20,Qatar,Uganda,Uganda,bat,Qatar,"Jaffery Sports Club Ground, Nairobi"
13715,1046687,2016,2016-08-17,ICC World Cricket League Europe Region Division Two Twenty20,male,IT20,Israel,Spain,Spain,field,Spain,"Skarpnack 2, Stockholm"
13716,1046685,2016,2016-08-17,ICC World Cricket League Europe Region Division Two Twenty20,male,IT20,Gibraltar,Isle of Man,Isle of Man,field,Isle of Man,"Skarpnack 1, Stockholm"
13717,1046679,2016,2016-08-17,ICC World Cricket League Europe Region Division Two Twenty20,male,IT20,Gibraltar,Israel,Israel,field,Israel,"Skarpnack 1, Stockholm"
13718,1046681,2016,2016-08-17,ICC World Cricket League Europe Region Division Two Twenty20,male,IT20,Germany,Isle of Man,Isle of Man,field,Germany,"Skarpnack 2, Stockholm"
14263,973777,2016,2016-02-21,Stan Nagaiah Trophy,male,IT20,Malaysia,Singapore,Singapore,field,Malaysia,"Kinrara Academy Oval, Kuala Lumpur"
14804,875547,2015,2015-07-23,ICC World Twenty20 Qualifier,male,IT20,Namibia,Oman,Oman,field,Oman,"The Village, Malahide, Dublin"
14812,875543,2015,2015-07-21,ICC World Twenty20 Qualifier,male,IT20,Namibia,Netherlands,Namibia,bat,Netherlands,"The Village, Malahide, Dublin"
14818,875539,2015,2015-07-19,ICC World Twenty20 Qualifier,male,IT20,Hong Kong,Namibia,Namibia,field,Hong Kong,"Clontarf Cricket Club Ground, Dublin"
14819,875537,2015,2015-07-19,ICC World Twenty20 Qualifier,male,IT20,Papua New Guinea,United States of America,Papua New Guinea,field,United States of America,"The Village, Malahide, Dublin"
14821,875535,2015,2015-07-19,ICC World Twenty20 Qualifier,male,IT20,Ireland,Jersey,Ireland,field,Ireland,"The Village, Malahide, Dublin"
14825,875533,2015,2015-07-18,ICC World Twenty20 Qualifier,male,IT20,Kenya,Netherlands,Netherlands,field,Netherlands,"Myreside, Edinburgh"
14826,875529,2015,2015-07-18,ICC World Twenty20 Qualifier,male,IT20,Namibia,Papua New Guinea,Papua New Guinea,field,Namibia,"The Village, Malahide, Dublin"
14827,875531,2015,2015-07-18,ICC World Twenty20 Qualifier,male,IT20,Hong Kong,United States of America,United States of America,field,United States of America,"Clontarf Cricket Club Ground, Dublin"
14829,875525,2015,2015-07-18,ICC World Twenty20 Qualifier,male,IT20,Scotland,Oman,Oman,field,Scotland,"Goldenacre, Edinburgh"
14830,875523,2015,2015-07-18,ICC World Twenty20 Qualifier,male,IT20,Jersey,Nepal,Jersey,field,Jersey,"The Village, Malahide, Dublin"
14844,875517,2015,2015-07-17,ICC World Twenty20 Qualifier,male,IT20,Canada,Netherlands,Netherlands,field,Netherlands,"Goldenacre, Edinburgh"
14845,875515,2015,2015-07-17,ICC World Twenty20 Qualifier,male,IT20,Jersey,Namibia,Namibia,field,Namibia,"Clontarf Cricket Club Ground, Dublin"
14849,875511,2015,2015-07-16,ICC World Twenty20 Qualifier,male,IT20,Scotland,Canada,Scotland,field,Scotland,"Goldenacre, Edinburgh"
14854,875509,2015,2015-07-15,ICC World Twenty20 Qualifier,male,IT20,Kenya,United Arab Emirates,Kenya,bat,Kenya,"Goldenacre, Edinburgh"
14855,875503,2015,2015-07-15,ICC World Twenty20 Qualifier,male,IT20,Jersey,United States of America,United States of America,field,United States of America,"Bready Cricket Club, Magheramason, Londonderry"
14861,875499,2015,2015-07-14,ICC World Twenty20 Qualifier,male,IT20,Kenya,Scotland,Kenya,bat,Scotland,"Grange Cricket Club, Raeburn Place, Edinburgh"
14862,875497,2015,2015-07-14,ICC World Twenty20 Qualifier,male,IT20,Canada,United Arab Emirates,United Arab Emirates,field,United Arab Emirates,"New Williamfield No1 Oval, Stirling"
14863,875495,2015,2015-07-14,ICC World Twenty20 Qualifier,male,IT20,Netherlands,Oman,Oman,field,Oman,"Myreside, Edinburgh"
14872,875477,2015,2015-07-12,ICC World Twenty20 Qualifier,male,IT20,Ireland,United States of America,United States of America,field,Ireland,"Civil Service Cricket Club, Stormont, Belfast"
14876,875479,2015,2015-07-12,ICC World Twenty20 Qualifier,male,IT20,Papua New Guinea,Jersey,Jersey,field,Papua New Guinea,"Bready Cricket Club, Magheramason, Londonderry"
14877,875473,2015,2015-07-11,ICC World Twenty20 Qualifier,male,IT20,Kenya,Oman,Oman,field,Kenya,"Myreside, Edinburgh"
14879,875475,2015,2015-07-11,ICC World Twenty20 Qualifier,male,IT20,Namibia,Nepal,Nepal,field,no result,"Civil Service Cricket Club, Stormont, Belfast"
