match_id,season,match_date,event_name,team1,team2,toss_winner,toss_decision,winner,ground,h2h,h2h_team1_wins,h2h_team1_wins%,h2h_venue,h2h_venue_team1_wins,h2h_venue_team1_wins%,team1_venue,team2_venue,team1_venue_wins,team2_venue_wins,team1_venue_wins%,team2_venue_wins%,team1_last_5_wins,team2_last_5_wins
1133932,2018,2018-02-09,ICC World Cricket League Division Two,Canada,United Arab Emirates,United Arab Emirates,field,Canada,"Wanderers Cricket Ground, Windhoek",1,1,100,1,1,100,2,1,1,0,50,0,5,3
1133931,2018,2018-02-08,ICC World Cricket League Division Two,Oman,Canada,Canada,field,Canada,"United Cricket Club Ground, Windhoek",3,1,33,1,0,0,3,6,0,1,0,16,3,3
1133929,2018,2018-02-08,ICC World Cricket League Division Two,United Arab Emirates,Kenya,Kenya,field,United Arab Emirates,"Wanderers Cricket Ground, Windhoek",4,2,50,1,1,100,3,5,1,0,33,0,4,2
1124088,2017,2017-12-08,ICC World Cricket League Championship,United Arab Emirates,Nepal,Nepal,field,United Arab Emirates,"Sheikh Zayed Stadium, Abu Dhabi",5,3,60,2,2,100,4,4,2,0,50,0,3,2
1124086,2017,2017-12-08,ICC World Cricket League Championship,Scotland,Kenya,Kenya,field,Scotland,"Dubai International Cricket Stadium, Dubai",2,2,100,2,2,100,2,2,2,0,100,0,2,1
1124087,2017,2017-12-06,ICC World Cricket League Championship,United Arab Emirates,Nepal,United Arab Emirates,field,United Arab Emirates,"Sheikh Zayed Stadium, Abu Dhabi",5,3,60,2,2,100,4,4,2,0,50,0,2,1
1124085,2017,2017-12-06,ICC World Cricket League Championship,Scotland,Kenya,Scotland,field,Scotland,"Dubai International Cricket Stadium, Dubai",2,2,100,2,2,100,2,2,2,0,100,0,2,0
1105009,2017,2017-10-13,ICC World Cricket League Championship,Nepal,Hong Kong,Nepal,field,Hong Kong,"Mission Road Ground, Mong Kok, Hong Kong, Mong Kok",3,2,67,1,0,0,1,3,0,1,0,33,3,1
1105008,2017,2017-10-08,ICC World Cricket League Championship,Netherlands,Kenya,Kenya,field,Kenya,"Buffalo Park, East London",2,1,50,2,1,50,2,2,1,1,50,50,2,0
1105007,2017,2017-10-06,ICC World Cricket League Championship,Netherlands,Kenya,Netherlands,field,Netherlands,"Buffalo Park, East London",2,1,50,2,1,50,2,2,1,1,50,50,2,0
1105002,2017,2017-09-21,ICC World Cricket League Championship,United Arab Emirates,Namibia,United Arab Emirates,field,United Arab Emirates,"Wanderers Cricket Ground, Windhoek",4,4,100,1,1,100,3,10,1,0,33,0,2,3
1089610,2017,2017-09-10,Cricket Ireland Inter-Provincial Limited Over Cup,Northern Knights,Leinster Lightning,Northern Knights,field,Leinster Lightning,"Observatory Lane, Rathmines, Dublin",16,4,25,2,0,0,2,3,0,2,0,66,1,5
1118468,2017,2017-09-09,ICC World Cricket League Division Five,Vanuatu,Jersey,Vanuatu,field,Jersey,"Willowmoore Park, Benoni",3,0,0,1,0,0,1,2,0,1,0,50,2,4
1118466,2017,2017-09-09,ICC World Cricket League Division Five,Guernsey,Germany,Guernsey,bat,Germany,"Willowmoore Park B Field, Benoni",1,0,0,1,0,0,1,1,0,1,0,100,2,2
1118464,2017,2017-09-07,ICC World Cricket League Division Five,Qatar,Jersey,Jersey,field,Jersey,"Willowmoore Park C Field, Benoni",1,0,0,1,0,0,2,1,0,1,0,100,3,5
