match_id,season,match_date,event_name,team1,team2,toss_winner,toss_decision,winner,ground,h2h,h2h_team1_wins,h2h_team1_wins%,h2h_venue,h2h_venue_team1_wins,h2h_venue_team1_wins%,team1_venue,team2_venue,team1_venue_wins,team2_venue_wins,team1_venue_wins%,team2_venue_wins%,team1_last_5_wins,team2_last_5_wins
1435644,2024,2024-06-07,Kwibuka Women's Twenty20 Tournament,Nigeria,Malawi,Malawi,field,Nigeria,"Gahanga B Ground, Rwanda, Kigali City",1,1,100,1,1,100,1,1,1,0,100,0,4,1
1435643,2024,2024-06-07,Kwibuka Women's Twenty20 Tournament,Uganda,Cameroon,Uganda,bat,Uganda,"Gahanga International Cricket Stadium, Rwanda, Kigali City",1,1,100,1,1,100,8,4,1,0,12,0,5,0
1410530,2024,2024-06-07,Charlotte Edwards Cup,Thunder,Southern Vipers,Southern Vipers,field,Southern Vipers,"Old Trafford, Manchester",5,0,0,2,0,0,9,2,0,2,0,100,2,3
1410529,2024,2024-06-07,Charlotte Edwards Cup,Western Storm,The Blaze,Western Storm,bat,The Blaze,"Grace Road, Leicester",2,0,0,1,0,0,1,1,0,1,0,100,1,5
1410528,2024,2024-06-06,Charlotte Edwards Cup,Sunrisers,South East Stars,South East Stars,field,South East Stars,"Lord'S, London",5,0,0,2,0,0,2,2,0,2,0,100,2,5
1435640,2024,2024-06-05,Kwibuka Women's Twenty20 Tournament,Uganda,Rwanda,Uganda,bat,Uganda,"Gahanga International Cricket Stadium, Rwanda, Kigali City",5,5,100,3,3,100,8,3,3,0,37,0,4,3
1435639,2024,2024-06-05,Kwibuka Women's Twenty20 Tournament,Malawi,Botswana,Malawi,field,Botswana,"Gahanga B Ground, Rwanda, Kigali City",2,0,0,1,0,0,5,2,0,1,0,50,1,1
1435638,2024,2024-06-05,Kwibuka Women's Twenty20 Tournament,Kenya,Cameroon,Cameroon,bat,Kenya,"Gahanga International Cricket Stadium, Rwanda, Kigali City",2,2,100,1,1,100,3,4,1,0,33,0,3,0
1435637,2024,2024-06-04,Kwibuka Women's Twenty20 Tournament,Malawi,Cameroon,Cameroon,bat,Malawi,"Gahanga B Ground, Rwanda, Kigali City",2,2,100,2,2,100,5,2,2,0,40,0,1,0
1435635,2024,2024-06-04,Kwibuka Women's Twenty20 Tournament,Uganda,Kenya,Kenya,bat,Uganda,"Gahanga B Ground, Rwanda, Kigali City",7,6,86,1,1,100,2,3,1,0,50,0,3,3
1435634,2024,2024-06-04,Kwibuka Women's Twenty20 Tournament,Rwanda,Nigeria,Nigeria,bat,Nigeria,"Gahanga International Cricket Stadium, Rwanda, Kigali City",6,4,67,4,3,75,13,7,3,1,23,14,4,3
1435633,2024,2024-06-03,Kwibuka Women's Twenty20 Tournament,Rwanda,Kenya,Kenya,field,Rwanda,"Gahanga B Ground, Rwanda, Kigali City",4,1,25,1,1,100,2,3,1,0,50,0,5,3
1435632,2024,2024-06-03,Kwibuka Women's Twenty20 Tournament,Nigeria,Botswana,Botswana,bat,Nigeria,"Gahanga International Cricket Stadium, Rwanda, Kigali City",3,3,100,2,2,100,4,8,2,0,50,0,3,1
1435630,2024,2024-06-03,Kwibuka Women's Twenty20 Tournament,Uganda,Malawi,Uganda,bat,Uganda,"Gahanga International Cricket Stadium, Rwanda, Kigali City",1,1,100,1,1,100,8,1,1,0,12,0,3,1
1435621,2024,2024-06-02,Kwibuka Women's Twenty20 Tournament,Kenya,Nigeria,Nigeria,field,Kenya,"Gahanga B Ground, Rwanda, Kigali City",1,1,100,1,1,100,2,3,1,0,50,0,3,3
1410527,2024,2024-06-02,Charlotte Edwards Cup,Sunrisers,Northern Diamonds,Sunrisers,field,Sunrisers,"County Ground, Northampton",4,1,25,1,1,100,2,1,1,0,50,0,2,0
1410526,2024,2024-06-02,Charlotte Edwards Cup,Southern Vipers,South East Stars,South East Stars,field,South East Stars,"Kennington Oval, London",4,2,50,1,0,0,1,2,0,1,0,50,3,5
1410525,2024,2024-06-02,Charlotte Edwards Cup,Thunder,The Blaze,Thunder,bat,The Blaze,"Old Trafford, Manchester",3,0,0,2,0,0,9,2,0,2,0,100,2,5
1435628,2024,2024-06-01,Kwibuka Women's Twenty20 Tournament,Cameroon,Nigeria,Cameroon,bat,Nigeria,"Gahanga International Cricket Stadium, Rwanda, Kigali City",1,0,0,1,0,0,1,7,0,1,0,14,0,2
1435627,2024,2024-06-01,Kwibuka Women's Twenty20 Tournament,Malawi,Kenya,Kenya,bat,Kenya,"Gahanga B Ground, Rwanda, Kigali City",2,0,0,1,0,0,5,3,0,1,0,33,0,3
1435626,2024,2024-06-01,Kwibuka Women's Twenty20 Tournament,Rwanda,Botswana,Rwanda,bat,Rwanda,"Gahanga International Cricket Stadium, Rwanda, Kigali City",5,5,100,2,2,100,13,8,2,0,15,0,5,2
1435625,2024,2024-05-31,Kwibuka Women's Twenty20 Tournament,Malawi,Rwanda,Malawi,bat,Rwanda,"Gahanga B Ground, Rwanda, Kigali City",1,0,0,1,0,0,5,1,0,1,0,100,1,4
1435624,2024,2024-05-31,Kwibuka Women's Twenty20 Tournament,Botswana,Cameroon,Botswana,bat,Botswana,"Gahanga International Cricket Stadium, Rwanda, Kigali City",1,1,100,1,1,100,1,4,1,0,100,0,2,1
1435623,2024,2024-05-31,Kwibuka Women's Twenty20 Tournament,Uganda,Nigeria,Nigeria,field,Uganda,"Gahanga B Ground, Rwanda, Kigali City",4,3,75,1,1,100,2,3,1,0,50,0,2,3
1410524,2024,2024-05-31,Charlotte Edwards Cup,The Blaze,Central Sparks,Central Sparks,field,The Blaze,"Trent Bridge, Nottingham",2,2,100,1,1,100,3,1,1,0,33,0,5,3
1410523,2024,2024-05-31,Charlotte Edwards Cup,Western Storm,Sunrisers,Sunrisers,field,Western Storm,"The Cooper Associates County Ground, Taunton",6,5,83,3,2,66,12,3,2,1,16,33,1,2
1410522,2024,2024-05-31,Charlotte Edwards Cup,South East Stars,Northern Diamonds,Northern Diamonds,bat,South East Stars,"Riverside Ground, Chester-Le-Street",3,2,67,1,1,100,1,4,1,0,100,0,4,0
1435620,2024,2024-05-30,Kwibuka Women's Twenty20 Tournament,Uganda,Botswana,Uganda,bat,Uganda,"Gahanga International Cricket Stadium, Rwanda, Kigali City",1,1,100,1,1,100,8,8,1,0,12,0,1,2
1435618,2024,2024-05-30,Kwibuka Women's Twenty20 Tournament,Rwanda,Cameroon,Rwanda,bat,Rwanda,"Gahanga International Cricket Stadium, Rwanda, Kigali City",1,1,100,1,1,100,13,4,1,0,7,0,5,2
1433775,2024,2024-05-30,Italy Women tour of Netherlands,Netherlands,Italy,Italy,bat,Netherlands,"Sportpark Harga, Schiedam",4,4,100,2,2,100,3,2,2,0,66,0,3,1
1410521,2024,2024-05-30,Charlotte Edwards Cup,Thunder,Central Sparks,Thunder,field,Thunder,"Old Trafford, Manchester",3,2,67,1,1,100,9,1,1,0,11,0,2,3
1410520,2024,2024-05-30,Charlotte Edwards Cup,Western Storm,Southern Vipers,Western Storm,field,Southern Vipers,"The Rose Bowl, Southampton",11,6,55,4,1,25,4,11,1,3,25,27,2,3
1433772,2024,2024-05-28,Italy Women tour of Netherlands,Netherlands,Italy,Netherlands,bat,Netherlands,"Sportpark Harga, Schiedam",4,4,100,2,2,100,3,2,2,0,66,0,3,2
1410519,2024,2024-05-27,Charlotte Edwards Cup,Northern Diamonds,Central Sparks,Central Sparks,field,Central Sparks,"Headingley, Leeds",3,2,67,1,0,0,1,1,0,1,0,100,1,3
1410517,2024,2024-05-27,Charlotte Edwards Cup,Sunrisers,Southern Vipers,Southern Vipers,field,Sunrisers,"Arundel Castle Cricket Club Ground, Arundel",3,1,33,1,1,100,1,4,1,0,100,0,2,2
1410516,2024,2024-05-26,Charlotte Edwards Cup,Thunder,The Blaze,The Blaze,field,The Blaze,"Haslegrave Ground, Loughborough",3,0,0,1,0,0,1,1,0,1,0,100,3,5
1410515,2024,2024-05-24,Charlotte Edwards Cup,Sunrisers,Southern Vipers,Sunrisers,field,Southern Vipers,"County Ground, Chelmsford",3,1,33,1,0,0,4,2,0,1,0,50,1,3
1410514,2024,2024-05-24,Charlotte Edwards Cup,Thunder,South East Stars,South East Stars,field,South East Stars,"Kent County Cricket Ground, Beckenham",2,1,50,1,0,0,1,3,0,1,0,33,3,4
1410513,2024,2024-05-23,Charlotte Edwards Cup,The Blaze,Northern Diamonds,Northern Diamonds,field,The Blaze,"Trent Bridge, Nottingham",3,3,100,1,1,100,3,1,1,0,33,0,4,0
1410512,2024,2024-05-22,Charlotte Edwards Cup,Western Storm,Central Sparks,Western Storm,field,Central Sparks,"The Cooper Associates County Ground, Taunton",4,2,50,1,0,0,12,1,0,1,0,100,2,2
1410511,2024,2024-05-19,Charlotte Edwards Cup,Sunrisers,Central Sparks,Central Sparks,field,Central Sparks,"County Ground, New Road, Worcester",4,0,0,1,0,0,1,5,0,1,0,20,1,1
1410510,2024,2024-05-19,Charlotte Edwards Cup,Thunder,Northern Diamonds,Northern Diamonds,bat,Thunder,"Old Trafford, Manchester",6,4,67,1,1,100,9,1,1,0,11,0,3,0
