,match_id,season,match_date,event_name,gender,match_type,team1,team2,toss_winner,toss_decision,winner,ground
136,1435630,2024,2024-06-03,Kwibuka Women's Twenty20 Tournament,female,T20,Uganda,Malawi,Uganda,bat,Uganda,"Gahanga International Cricket Stadium, Rwanda, Kigali City"
143,1410525,2024,2024-06-02,Charlotte Edwards Cup,female,T20,Thunder,The Blaze,Thunder,bat,The Blaze,"Old Trafford, Manchester"
144,1435621,2024,2024-06-02,Kwibuka Women's Twenty20 Tournament,female,T20,Kenya,Nigeria,Nigeria,field,Kenya,"Gahanga B Ground, Rwanda, Kigali City"
145,1410527,2024,2024-06-02,Charlotte Edwards Cup,female,T20,Northern Diamonds,Sunrisers,Sunrisers,field,Sunrisers,"County Ground, Northampton"
146,1410526,2024,2024-06-02,Charlotte Edwards Cup,female,T20,Southern Vipers,South East Stars,South East Stars,field,South East Stars,"Kennington Oval, London"
152,1435627,2024,2024-06-01,Kwibuka Women's Twenty20 Tournament,female,T20,Kenya,Malawi,Kenya,bat,Kenya,"Gahanga B Ground, Rwanda, Kigali City"
153,1435628,2024,2024-06-01,Kwibuka Women's Twenty20 Tournament,female,T20,Cameroon,Nigeria,Cameroon,bat,Nigeria,"Gahanga International Cricket Stadium, Rwanda, Kigali City"
154,1435626,2024,2024-06-01,Kwibuka Women's Twenty20 Tournament,female,T20,Rwanda,Botswana,Rwanda,bat,Rwanda,"Gahanga International Cricket Stadium, Rwanda, Kigali City"
155,1435623,2024,2024-05-31,Kwibuka Women's Twenty20 Tournament,female,T20,Uganda,Nigeria,Nigeria,field,Uganda,"Gahanga B Ground, Rwanda, Kigali City"
156,1410523,2024,2024-05-31,Charlotte Edwards Cup,female,T20,Western Storm,Sunrisers,Sunrisers,field,Western Storm,"The Cooper Associates County Ground, Taunton"
157,1435625,2024,2024-05-31,Kwibuka Women's Twenty20 Tournament,female,T20,Malawi,Rwanda,Malawi,bat,Rwanda,"Gahanga B Ground, Rwanda, Kigali City"
158,1410522,2024,2024-05-31,Charlotte Edwards Cup,female,T20,Northern Diamonds,South East Stars,Northern Diamonds,bat,South East Stars,"Riverside Ground, Chester-le-Street"
159,1435624,2024,2024-05-31,Kwibuka Women's Twenty20 Tournament,female,T20,Botswana,Cameroon,Botswana,bat,Botswana,"Gahanga International Cricket Stadium, Rwanda, Kigali City"
168,1410524,2024,2024-05-31,Charlotte Edwards Cup,female,T20,The Blaze,Central Sparks,Central Sparks,field,The Blaze,"Trent Bridge, Nottingham"
169,1410521,2024,2024-05-30,Charlotte Edwards Cup,female,T20,Central Sparks,Thunder,Thunder,field,Thunder,"Old Trafford, Manchester"
170,1410520,2024,2024-05-30,Charlotte Edwards Cup,female,T20,Southern Vipers,Western Storm,Western Storm,field,Southern Vipers,"The Rose Bowl, Southampton"
171,1433775,2024,2024-05-30,Italy Women tour of Netherlands,female,T20,Italy,Netherlands,Italy,bat,Netherlands,"Sportpark Harga, Schiedam"
172,1435618,2024,2024-05-30,Kwibuka Women's Twenty20 Tournament,female,T20,Rwanda,Cameroon,Rwanda,bat,Rwanda,"Gahanga International Cricket Stadium, Rwanda, Kigali City"
173,1435620,2024,2024-05-30,Kwibuka Women's Twenty20 Tournament,female,T20,Uganda,Botswana,Uganda,bat,Uganda,"Gahanga International Cricket Stadium, Rwanda, Kigali City"
180,1398273,2024,2024-05-29,Pakistan Women tour of England,female,ODI,England,Pakistan,England,bat,England,"County Ground, Chelmsford"
182,1433772,2024,2024-05-28,Italy Women tour of Netherlands,female,T20,Netherlands,Italy,Netherlands,bat,Netherlands,"Sportpark Harga, Schiedam"
187,1410519,2024,2024-05-27,Charlotte Edwards Cup,female,T20,Northern Diamonds,Central Sparks,Central Sparks,field,Central Sparks,"Headingley, Leeds"
188,1410518,2024,2024-05-27,Charlotte Edwards Cup,female,T20,Western Storm,South East Stars,South East Stars,field,no result,"Kent County Cricket Ground, Beckenham"
189,1410517,2024,2024-05-27,Charlotte Edwards Cup,female,T20,Sunrisers,Southern Vipers,Southern Vipers,field,Sunrisers,"Arundel Castle Cricket Club Ground, Arundel"
197,1410516,2024,2024-05-26,Charlotte Edwards Cup,female,T20,Thunder,The Blaze,The Blaze,field,The Blaze,"Haslegrave Ground, Loughborough"
199,1398272,2024,2024-05-26,Pakistan Women tour of England,female,ODI,Pakistan,England,Pakistan,bat,no result,"The Cooper Associates County Ground, Taunton"
205,1410514,2024,2024-05-24,Charlotte Edwards Cup,female,T20,Thunder,South East Stars,South East Stars,field,South East Stars,"Kent County Cricket Ground, Beckenham"
209,1410515,2024,2024-05-24,Charlotte Edwards Cup,female,T20,Southern Vipers,Sunrisers,Sunrisers,field,Southern Vipers,"County Ground, Chelmsford"
211,1410513,2024,2024-05-23,Charlotte Edwards Cup,female,T20,The Blaze,Northern Diamonds,Northern Diamonds,field,The Blaze,"Trent Bridge, Nottingham"
213,1398271,2024,2024-05-23,Pakistan Women tour of England,female,ODI,England,Pakistan,Pakistan,field,England,"County Ground, Derby"
216,1410512,2024,2024-05-22,Charlotte Edwards Cup,female,T20,Central Sparks,Western Storm,Western Storm,field,Central Sparks,"The Cooper Associates County Ground, Taunton"
229,1410509,2024,2024-05-19,Charlotte Edwards Cup,female,T20,South East Stars,Western Storm,South East Stars,bat,South East Stars,"County Ground, Bristol"
230,1410510,2024,2024-05-19,Charlotte Edwards Cup,female,T20,Northern Diamonds,Thunder,Northern Diamonds,bat,Thunder,"Old Trafford, Manchester"
231,1398270,2024,2024-05-19,Pakistan Women tour of England,female,T20,England,Pakistan,England,bat,England,"Headingley, Leeds"
232,1410511,2024,2024-05-19,Charlotte Edwards Cup,female,T20,Sunrisers,Central Sparks,Central Sparks,field,Central Sparks,"County Ground, New Road, Worcester"
239,1410508,2024,2024-05-18,Charlotte Edwards Cup,female,T20,The Blaze,Southern Vipers,Southern Vipers,field,The Blaze,"The Rose Bowl, Southampton"
240,1398269,2024,2024-05-17,Pakistan Women tour of England,female,T20,England,Pakistan,England,bat,England,"County Ground, Northampton"
261,1398268,2024,2024-05-11,Pakistan Women tour of England,female,T20,England,Pakistan,Pakistan,field,England,"Edgbaston Foundation Community Sports Ground, Birmingham"
274,1429397,2024,2024-05-09,India Women tour of Bangladesh,female,T20,India,Bangladesh,India,bat,India,"Sylhet International Cricket Stadium, Academy Ground, Sylhet"
276,1427829,2024,2024-05-08,Rachael Heyhoe Flint Trophy,female,ODM,Western Storm,The Blaze,The Blaze,field,The Blaze,"Trent Bridge, Nottingham"
