Unnamed: 0,match_id,season,match_date,event_name,gender,match_type,team1,team2,toss_winner,toss_decision,winner,ground
13082,1090894,2017,2017-05-03,ICC Women's World Twenty20 Qualifying Series East Asia-Pacific Region,female,IT20,Vanuatu,Samoa,Samoa,field,Samoa,"Sano International Cricket Ground, Sano"
13087,1090891,2017,2017-05-02,ICC Women's World Twenty20 Qualifying Series East Asia-Pacific Region,female,IT20,Japan,Samoa,Samoa,field,Samoa,"Sano International Cricket Ground, Sano"
13092,1090892,2017,2017-05-02,ICC Women's World Twenty20 Qualifying Series East Asia-Pacific Region,female,IT20,Vanuatu,Papua New Guinea,Papua New Guinea,field,Papua New Guinea,"Sano International Cricket Ground, Sano"
13102,1090889,2017,2017-05-01,ICC Women's World Twenty20 Qualifying Series East Asia-Pacific Region,female,IT20,Samoa,Vanuatu,Vanuatu,field,Samoa,"Sano International Cricket Ground, Sano"
13108,1090890,2017,2017-04-30,ICC Women's World Twenty20 Qualifying Series East Asia-Pacific Region,female,IT20,Papua New Guinea,Japan,Japan,field,Papua New Guinea,"Sano International Cricket Ground, Sano"
13116,1090888,2017,2017-04-29,ICC Women's World Twenty20 Qualifying Series East Asia-Pacific Region,female,IT20,Japan,Vanuatu,Vanuatu,field,Vanuatu,"Sano International Cricket Ground, Sano"
13123,1090886,2017,2017-04-28,ICC Women's World Twenty20 Qualifying Series East Asia-Pacific Region,female,IT20,Vanuatu,Papua New Guinea,Papua New Guinea,field,Papua New Guinea,"Sano International Cricket Ground, Sano"
13124,1090885,2017,2017-04-28,ICC Women's World Twenty20 Qualifying Series East Asia-Pacific Region,female,IT20,Japan,Samoa,Samoa,field,Samoa,"Sano International Cricket Ground, Sano"
13684,1049633,2016,2016-08-28,Saudari Cup,female,IT20,Malaysia,Singapore,Malaysia,bat,Malaysia,"Johor Cricket Academy Oval, Johor"
13689,1049631,2016,2016-08-27,Saudari Cup,female,IT20,Malaysia,Singapore,Singapore,bat,Malaysia,"Johor Cricket Academy Oval, Johor"
13698,1049617,2016,2016-08-26,Saudari Cup,female,IT20,Malaysia,Singapore,Singapore,bat,Singapore,"Johor Cricket Academy Oval, Johor"
14506,881759,2015,2015-12-05,ICC Women's World Twenty20 Qualifier,female,IT20,Thailand,Netherlands,Thailand,field,Thailand,"Terdthai Cricket Ground, Bangkok"
